SEARCH_ENGINE,DOMAIN,CATALOG_NUMBER,RANK,URL,TITLE,DESCRIPTION,IS_SPONSORED
YAHOO,coxreels.com,1125-4-450-AB,,,,1,False
YAHOO,coxreels.com,1125-4-450-AB,Shop cox reels - Amazon - Amazon.com Official Site,amazon.com has been visited by 1M+ users in the past month ,https://r.search.yahoo.com/cbclk2/dWU9REJFOTYzM0U1RjJCNDZFRCZ1dD0xNjk2OTQ0ODQ0ODk0JnVvPTgzNDk0NDI0NDEyMjUxJmx0PTImcz0xJmVzPXhLTjduUTBHUFNfRmV3R24uUlZQQXByRXdRMkxBU3ZUanZIZjdSREVKdy0t/RV=2/RE=1696973645/RO=10/RU=https%3a%2f%2fwww.bing.com%2faclick%3fld%3de8X2h_xsU0gA-x0imO2_Ge1jVUCUzP8fRCL7AeGbUs9TVHNkxTpb1XiWhqwFhAhyno3z7cdHk6biFCRKAg94wP2Fe2fuR7jzwa5cGGt9dJOsUunzA5knl7xWluoQDEf9OEdy9lPDlk1_fF1YKL7MJctr7mpX_puqY89CpeYuZ5N73TKcgy1-2RR9EMT2eQG_DRAoA7zw%26u%3daHR0cHMlM2ElMmYlMmZ3d3cuYW1hem9uLmNvbSUyZnMlMmYlM2ZpZSUzZFVURjglMjZrZXl3b3JkcyUzZGNveCUyYnJlZWxzJTI2aW5kZXglM2RpbmR1c3RyaWFsJTI2dGFnJTNkbWgwYi0yMCUyNnJlZiUzZHBkX3NsXzZzMWpjazkzYzlfcCUyNmFkZ3JwaWQlM2QxMzM1OTA3OTEwMzAzNzMzJTI2aHZhZGlkJTNkODM0OTQ0MjQ0MTIyNTElMjZodm5ldHclM2RvJTI2aHZxbXQlM2RwJTI2aHZibXQlM2RicCUyNmh2ZGV2JTNkYyUyNmh2bG9jaW50JTNkJTI2aHZsb2NwaHklM2QxNjM2NDglMjZodnRhcmdpZCUzZGt3ZC04MzQ5NTExNzY5NjM5NiUzYWxvYy05MCUyNmh5ZGFkY3IlM2QxNDM4XzEwNDI0MjMx%26rlid%3d1acddb662c051eb1b6bebe437ec848f7/RK=2/RS=Ty9XBDp9SLg0uACkhzDMdtTVGLI-;_ylc=cnQDMQ--?IG=0ae36572690845f58600000000debf57,2,True
YAHOO,coxreels.com,1125-4-450-AB,Industrial Cable Reel - Customized Cord Reel Solutions,Alert Reel Manufacturing - Leading Manufacturer Of Premium Retractable Power Cord Reels. Keep Your Cords Organized and Within Reach with Our Durable and Affordable Cord Reels! ,https://r.search.yahoo.com/cbclk2/dWU9REJFOTYzM0U1RjJCNDZFRCZ1dD0xNjk2OTQ0ODQ0ODk0JnVvPTc3MTcyMTYxMjg5NDQ0Jmx0PTImcz0xJmVzPU9WcHVTYlVHUFNfTnl0WG5RUEg2ZmNoTG5xckRfTzNnMGtQT3pPZ2E-/RV=2/RE=1696973645/RO=10/RU=https%3a%2f%2fwww.bing.com%2faclick%3fld%3de84_Q5d-8rmqec3tsSbRWBsDVUCUyCl-4gZ_hcZqZBBpwkXxrxUcDpUAmWY1qd7VInKwoAxeI1tyD3o4DYS62mV1G1yjbj9TG5kmMhz6Io5Qctdri5js_1VNJq9frrfV6hTKjw7eszob_N9bNaLrUIQ43LVcENM4ni7ilVjyFFpPO4fWJiPde9mxgpn0dSFEU-ej-dMw%26u%3daHR0cHMlM2ElMmYlMmZhbGVydHJlZWxzLmNvbSUyZnByb2R1Y3QtY2F0ZWdvcnklMmZjb3JkLXJlZWxzJTJmJTNmdXRtX3Rlcm0lM2Rjb3JkJTI1MjByZWVsJTI2dXRtX2NhbXBhaWduJTNkUDElMmItJTJiQ29yZCUyYlJlZWxzJTI2dXRtX3NvdXJjZSUzZGJpbmclMjZ1dG1fbWVkaXVtJTNkcHBjJTI2aHNhX2FjYyUzZDQ0NTE3NDkyNjAlMjZoc2FfY2FtJTNkMTk2MzgwODUzNTclMjZoc2FfZ3JwJTNkMTIzNDc1MTkwMDIwMTI4OSUyNmhzYV9hZCUzZCUyNmhzYV9zcmMlM2RvJTI2aHNhX3RndCUzZGt3ZC03NzE3MjI2MTU0ODE3OSUzYWxvYy05MCUyNmhzYV9rdyUzZGNvcmQlMjUyMHJlZWwlMjZoc2FfbXQlM2RwJTI2aHNhX25ldCUzZGFkd29yZHMlMjZoc2FfdmVyJTNkMyUyNm1zY2xraWQlM2QwNTVlNjBkMGU5MDcxNGQxODdhODA1ZjViYmNhMjI2ZSUyNnV0bV9jb250ZW50JTNkQ29yZCUyNTIwUmVlbHM%26rlid%3d055e60d0e90714d187a805f5bbca226e/RK=2/RS=9UOGW25UE86B9k6WUSRDj5yxHow-;_ylc=cnQDMQ--?IG=0ae36572690845f58600000000debf57,3,False
YAHOO,coxreels.com,1125-4-450-AB,www.coxreels.com › 1125-series_8_13,"COXREELS® 1125 Series hand crank hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap. Model Shown: 1125-4-200. Please refer to Overall Dimensions and ...",https://www.coxreels.com/1125-series_8_13.html,4,False
YAHOO,coxreels.com,1125-4-450-AB,www.coxreels.com › 1125-series_8_15,"COXREELS ® 1125 Series motorized hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap.",https://www.coxreels.com/1125-series_8_15.html,5,False
YAHOO,coxreels.com,1125-4-450-AB,www.coxreels.com › hp1125-series_8_16,"Hose Strain Relief Kit. COXREELS® HP1125 Series is like our 1125 Series but is built to spec to handle high pressure applications of up to 5,000 PSI. Featuring hand crank retraction, full-flow super swivels, and low-profile riser for smooth hose wraps; all built on a heavy-duty.",https://www.coxreels.com/hp1125-series_8_16.html,6,False
YAHOO,coxreels.com,1125-4-450-AB,www.coxreelsales.com › pdf › 1125-series,"COXREELS®1125 Series hand crank and motorized hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded “A” frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap. 1125 SERiESHand CRank & MOtOR dRivEn HOSE REELS",https://www.coxreelsales.com/pdf/1125-series.pdf,7,False
YAHOO,coxreels.com,1125-4-450-AB,www.coxreelsales.com › motorized-1125Series,"Coxreels® 1125 Series motorized hose reels meet industry professional’s demands. Features such as, a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap, making it the industry’s preferred design. Click to view Motor Options.",https://www.coxreelsales.com/motorized-1125Series.php,8,False
YAHOO,coxreels.com,1125-4-450-AB,www.coxreels.com › hp1125-series_8_17,"COXREELS® HP1125 Series is like our 1125 Series but is built to spec to handle high pressure applications of up to 5,000 PSI. Featuring motor rewind hose retraction, full-flow super swivels, and low-profile riser for smooth hose wraps; all built on a hea.",https://www.coxreels.com/hp1125-series_8_17.html,9,False
YAHOO,coxreels.com,1125-4-450-AB,www.rshughes.com › coxreels_1125_4_450_ab,"Product type: Hose Reel, Part #: 1125-4-450-AB, Pack Qty: 1 each. Skip to main content. Welcome Sign In / Register. Products; Industries Open Industries sub-menu.",https://www.rshughes.com/p/Coxreels-1125-Series-Hose-Reel-450-Ft-Hose-Not-Included-700-Ft-Capacity-Compressed-Air-Drive-1125-4-450-AB/coxreels_1125_4_450_ab/,10,False
